protocol,train_knots,test_knots,train_count,test_count,model,mae,median_ape_pct,r2,rmse,subset,case,model_label
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B3-Global-HS-Poly,0.0143284449322866,1.5792897920812343,0.7987701185833187,0.01782437566781485,Mid amplitude,Case 2,B3
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B4-Discrete-Local,0.015407765002642407,1.720095515136613,0.7663036075612779,0.019208528455457733,Mid amplitude,Case 2,B4
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,Ours,0.012952805677601856,1.4427287471524552,0.8350469062318885,0.016137948449908766,Mid amplitude,Case 2,Ours
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B0-Global-H-Linear,0.01480645099034976,1.590169163983971,0.7789523669607568,0.018681469087500766,Mid amplitude,Case 3,B0
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B1-Global-HS-Linear,0.014809683650317393,1.5902006661179788,0.7788171742041523,0.018687181008552534,Mid amplitude,Case 3,B1
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B2-Global-H-Poly,0.014573423544786806,1.6141034443285216,0.790422568736435,0.01819032035792814,Mid amplitude,Case 3,B2
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B3-Global-HS-Poly,0.014597428326884238,1.5738744079700722,0.7883857925986499,0.01827849785974393,Mid amplitude,Case 3,B3
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B4-Discrete-Local,0.015948585337383896,1.7690817698921542,0.7426366959491169,0.020157719746481,Mid amplitude,Case 3,B4
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,Ours,0.01386340997321477,1.564668641494865,0.8155625391707033,0.01706446427404572,Mid amplitude,Case 3,Ours
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B0-Global-H-Linear,0.01398332477578417,1.4730976056959262,0.8023453136528701,0.01766532570199304,High amplitude,Case 1,B0
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B1-Global-HS-Linear,0.013919001438387228,1.4138819447870903,0.8039956725197356,0.01759142095437141,High amplitude,Case 1,B1
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B2-Global-H-Poly,0.013237462593146492,1.489384710295521,0.8180979882569624,0.01694676636977269,High amplitude,Case 1,B2
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B3-Global-HS-Poly,0.012632584016378918,1.3207279348421639,0.8340993028118439,0.01618423577676857,High amplitude,Case 1,B3
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B4-Discrete-Local,0.014448172239774655,1.505187355830439,0.7901929217821306,0.018200283758862408,High amplitude,Case 1,B4
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,Ours,0.012634190114294815,1.350381068637485,0.836352092454929,0.016073976146334344,High amplitude,Case 1,Ours
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B0-Global-H-Linear,0.01481378469190221,1.6085233463164896,0.7777879772752132,0.018730607680295337,High amplitude,Case 2,B0
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B1-Global-HS-Linear,0.014417805350142072,1.5286406039596407,0.7901833807436676,0.018200697585780714,High amplitude,Case 2,B1
