protocol,train_knots,test_knots,train_count,test_count,model,mae,median_ape_pct,r2,rmse,subset,case,model_label
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B3-Global-HS-Poly,0.01411983988574725,1.6251212810998727,0.8055723005977706,0.01752052678515602,Mid pulse,Case 2,B3
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B4-Discrete-Local,0.015859549567892695,1.73380982424729,0.7532019371650368,0.019739628020496305,Mid pulse,Case 2,B4
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,Ours,0.012846436736170683,1.407505732110446,0.834883762164762,0.01614592696011008,Mid pulse,Case 2,Ours
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B0-Global-H-Linear,0.01601102382116331,1.7479874521568477,0.7369988020453064,0.020377314790217104,Mid pulse,Case 3,B0
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B1-Global-HS-Linear,0.015771276098357913,1.6860352894431847,0.7454474538483054,0.020047342671361434,Mid pulse,Case 3,B1
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B2-Global-H-Poly,0.014967577257466991,1.693555088452411,0.7780857696257271,0.018718052775247192,Mid pulse,Case 3,B2
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B3-Global-HS-Poly,0.01461934687080892,1.649394055534282,0.7897447396423303,0.018219712775849658,Mid pulse,Case 3,B3
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B4-Discrete-Local,0.016667390122001642,1.8114539622620702,0.721826015844971,0.02095686648581828,Mid pulse,Case 3,B4
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,Ours,0.013465977748976704,1.4738486710208636,0.8200257052283695,0.016856730030251284,Mid pulse,Case 3,Ours
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B0-Global-H-Linear,0.019109839479871746,2.0668971235880167,0.628100008759904,0.02423154888696424,Long pulse,Case 1,B0
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B1-Global-HS-Linear,0.016563054973449964,1.8823600326911338,0.7327649802094753,0.020540678067969203,Long pulse,Case 1,B1
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B2-Global-H-Poly,0.017554244175784835,1.9658407712651695,0.6855506255697055,0.02228145045684571,Long pulse,Case 1,B2
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B3-Global-HS-Poly,0.015893816540851532,1.7581334401504745,0.7458006659498895,0.02003342919416299,Long pulse,Case 1,B3
